                               No. of Molecules =     5400
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         63.4818
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       181         -6963.35841        1112.36450       -5850.99391
       182         -6961.80053        1111.50051       -5850.30002
       183         -6960.25258        1110.65104       -5849.60154
       184         -6958.73656        1109.81598       -5848.92058
       185         -6957.24626        1108.99519       -5848.25107
       186         -6955.79479        1108.18857       -5847.60622
       187         -6954.34039        1107.39597       -5846.94443
       188         -6952.94060        1106.61727       -5846.32333
       189         -6951.58328        1105.85232       -5845.73096
       190         -6950.25336        1105.10103       -5845.15233
       191         -6948.92244        1104.36324       -5844.55920
       192         -6947.63910        1103.63880       -5844.00030
       193         -6946.36453        1102.92758       -5843.43695
       194         -6945.13400        1102.22942       -5842.90457
       195         -6943.89682        1101.54419       -5842.35263
       196         -6942.71051        1100.87174       -5841.83877
       197         -6941.55849        1100.21194       -5841.34655
       198         -6940.40195        1099.56463       -5840.83731
       199         -6939.28500        1098.92966       -5840.35534
       200         -6938.20738        1098.30689       -5839.90048
       201         -6937.11101        1097.69620       -5839.41481
       202         -6936.07267        1097.09742       -5838.97525
       203         -6935.05795        1096.51041       -5838.54754
       204         -6934.05474        1095.93504       -5838.11970
       205         -6933.10128        1095.37117       -5837.73011
       206         -6932.18249        1094.81867       -5837.36382
       207         -6931.26548        1094.27739       -5836.98809
       208         -6930.33072        1093.74720       -5836.58351
       209         -6929.44902        1093.22794       -5836.22108
       210         -6928.59787        1092.71948       -5835.87840
       211         -6927.74589        1092.22168       -5835.52421
       212         -6926.90470        1091.73443       -5835.17027
       213         -6926.13922        1091.25758       -5834.88163
       214         -6925.37356        1090.79099       -5834.58257
       215         -6924.61931        1090.33452       -5834.28480
       216         -6923.87475        1089.88806       -5833.98669
       217         -6923.16629        1089.45146       -5833.71482
       218         -6922.45659        1089.02460       -5833.43200
       219         -6921.79133        1088.60732       -5833.18401
       220         -6921.11096        1088.19951       -5832.91145
       221         -6920.44339        1087.80104       -5832.64235
       222         -6919.80910        1087.41177       -5832.39732
       223         -6919.19894        1087.03159       -5832.16735
       224         -6918.63634        1086.66035       -5831.97599
       225         -6918.07366        1086.29795       -5831.77571
       226         -6917.52102        1085.94425       -5831.57677
       227         -6916.98555        1085.59912       -5831.38644
       228         -6916.43885        1085.26243       -5831.17642
       229         -6915.92659        1084.93405       -5830.99254
       230         -6915.44260        1084.61387       -5830.82873
       231         -6914.97772        1084.30174       -5830.67598
