                               No. of Molecules =    12800
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         84.8420
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       173        -17587.82806        4449.79057      -13138.03750
       174        -17587.82806        4463.66729      -13124.16077
       175        -17587.82806        4477.62334      -13110.20473
       176        -17587.82806        4491.65870      -13096.16937
       177        -17587.82806        4505.77337      -13082.05470
       178        -17587.82806        4519.96735      -13067.86071
       179        -17587.82806        4534.24066      -13053.58741
       180        -17587.82806        4548.59327      -13039.23479
       181        -17587.82806        4563.02521      -13024.80286
       182        -17587.82806        4577.53645      -13010.29161
       183        -17587.82806        4592.12701      -12995.70105
       184        -17587.82806        4606.79689      -12981.03117
       185        -17587.82806        4621.54608      -12966.28198
       186        -17587.82806        4636.37459      -12951.45348
       187        -17587.82806        4651.28241      -12936.54565
       188        -17587.82806        4666.26954      -12921.55852
       189        -17587.82806        4681.33600      -12906.49207
       190        -17587.82806        4696.48176      -12891.34630
       191        -17587.82806        4711.70684      -12876.12122
       192        -17587.82806        4727.01124      -12860.81683
       193        -17587.82806        4742.39495      -12845.43312
       194        -17587.82806        4757.85797      -12829.97009
       195        -17587.82806        4773.40031      -12814.42775
       196        -17587.82806        4789.02197      -12798.80610
       197        -17587.82806        4804.72294      -12783.10513
       198        -17587.82806        4820.50322      -12767.32484
       199        -17587.82806        4836.36282      -12751.46524
       200        -17587.82806        4852.30174      -12735.52633
       201        -17587.82806        4868.31997      -12719.50810
       202        -17587.82806        4884.41751      -12703.41055
       203        -17587.82806        4900.59437      -12687.23370
       204        -17587.82806        4916.85054      -12670.97752
       205        -17587.82806        4933.18603      -12654.64203
       206        -17587.82806        4949.60083      -12638.22723
       207        -17587.82806        4966.09495      -12621.73311
       208        -17587.82806        4982.66839      -12605.15968
       209        -17587.82806        4999.32113      -12588.50693
       210        -17587.82806        5016.05320      -12571.77487
       211        -17587.82806        5032.86458      -12554.96349
       212        -17587.82806        5049.75527      -12538.07280
       213        -17587.82806        5066.72528      -12521.10279
       214        -17587.82806        5083.77460      -12504.05347
       215        -17587.82806        5100.90324      -12486.92483
       216        -17587.82806        5118.11119      -12469.71688
       217        -17587.82806        5135.39846      -12452.42961
       218        -17587.82806        5152.76504      -12435.06303
       219        -17587.82806        5170.21093      -12417.61713
       220        -17587.82806        5187.73615      -12400.09192
       221        -17587.82806        5205.34067      -12382.48739
       222        -17587.82806        5223.02451      -12364.80355
       223        -17587.82806        5240.78767      -12347.04039
       224        -17587.82806        5258.63014      -12329.19792
       225        -17587.82806        5276.55193      -12311.27614
       226        -17587.82806        5294.55303      -12293.27504
       227        -17587.82806        5312.63344      -12275.19462
       228        -17587.82806        5330.79318      -12257.03489
       229        -17587.82806        5349.03222      -12238.79584
       230        -17587.82806        5367.35058      -12220.47748
       231        -17587.82806        5385.74826      -12202.07981
       232        -17587.82806        5404.22525      -12183.60282
       233        -17587.82806        5422.78155      -12165.04651
       234        -17587.82806        5441.41717      -12146.41089
       235        -17587.82806        5460.13211      -12127.69596
       236        -17587.82806        5478.92636      -12108.90171
       237        -17587.82806        5497.79992      -12090.02814
       238        -17587.82806        5516.75280      -12071.07526
       239        -17587.82806        5535.78499      -12052.04307
       240        -17587.82806        5554.89650      -12032.93156
       241        -17587.82806        5574.08733      -12013.74074
       242        -17587.82806        5593.35747      -11994.47060
       243        -17587.82806        5612.70692      -11975.12114
       244        -17587.82806        5632.13569      -11955.69238
       245        -17587.82806        5651.64377      -11936.18429
       246        -17587.82806        5671.23117      -11916.59689
       247        -17587.82806        5690.89788      -11896.93018
       248        -17587.82806        5710.64391      -11877.18415
       249        -17587.82806        5730.46925      -11857.35881
       250        -17587.82806        5750.37391      -11837.45415
       251        -17587.82806        5770.35789      -11817.47018
       252        -17587.82806        5790.42117      -11797.40689
       253        -17587.82806        5810.56378      -11777.26429
       254        -17587.82806        5830.78569      -11757.04237
       255        -17587.82806        5851.08692      -11736.74114
       256        -17587.82806        5871.46747      -11716.36059
       257        -17587.82806        5891.92733      -11695.90073
       258        -17587.82806        5912.46651      -11675.36155
       259        -17587.82806        5933.08500      -11654.74306
       260        -17587.82806        5953.78281      -11634.04526
       261        -17587.82806        5974.55993      -11613.26813
       262        -17587.82806        5995.41637      -11592.41170
       263        -17587.82806        6016.35212      -11571.47595
       264        -17587.82806        6037.36718      -11550.46088
       265        -17587.82806        6058.46156      -11529.36650
       266        -17587.82806        6079.63526      -11508.19280
       267        -17587.82806        6100.88827      -11486.93979
       268        -17587.82806        6122.22060      -11465.60747
