                               No. of Molecules =     1600
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         42.3212
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       322         -2207.83784         919.76558       -1288.07226
       323         -2207.83784         923.00672       -1284.83112
       324         -2207.83784         926.25804       -1281.57980
       325         -2207.83784         929.51953       -1278.31831
       326         -2207.83784         932.79120       -1275.04664
       327         -2207.83784         936.07304       -1271.76481
       328         -2207.83784         939.36505       -1268.47279
       329         -2207.83784         942.66723       -1265.17061
       330         -2207.83784         945.97959       -1261.85825
       331         -2207.83784         949.30212       -1258.53573
       332         -2207.83784         952.63482       -1255.20302
       333         -2207.83784         955.97769       -1251.86015
       334         -2207.83784         959.33074       -1248.50710
       335         -2207.83784         962.69396       -1245.14388
       336         -2207.83784         966.06736       -1241.77048
       337         -2207.83784         969.45092       -1238.38692
       338         -2207.83784         972.84466       -1234.99318
       339         -2207.83784         976.24858       -1231.58926
       340         -2207.83784         979.66266       -1228.17518
       341         -2207.83784         983.08692       -1224.75092
       342         -2207.83784         986.52135       -1221.31649
       343         -2207.83784         989.96596       -1217.87188
       344         -2207.83784         993.42073       -1214.41711
       345         -2207.83784         996.88568       -1210.95216
       346         -2207.83784        1000.36081       -1207.47703
       347         -2207.83784        1003.84610       -1203.99174
       348         -2207.83784        1007.34157       -1200.49627
       349         -2207.83784        1010.84722       -1196.99063
       350         -2207.83784        1014.36303       -1193.47481
       351         -2207.83784        1017.88902       -1189.94882
       352         -2207.83784        1021.42518       -1186.41266
       353         -2207.83784        1024.97151       -1182.86633
       354         -2207.83784        1028.52802       -1179.30982
       355         -2207.83784        1032.09470       -1175.74314
       356         -2207.83784        1035.67155       -1172.16629
       357         -2207.83784        1039.25858       -1168.57926
       358         -2207.83784        1042.85577       -1164.98207
       359         -2207.83784        1046.46315       -1161.37470
       360         -2207.83784        1050.08069       -1157.75715
       361         -2207.83784        1053.70841       -1154.12943
       362         -2207.83784        1057.34630       -1150.49154
       363         -2207.83784        1060.99436       -1146.84348
       364         -2207.83784        1064.65260       -1143.18525
       365         -2207.83784        1068.32100       -1139.51684
       366         -2207.83784        1071.99959       -1135.83826
       367         -2207.83784        1075.68834       -1132.14950
       368         -2207.83784        1079.38727       -1128.45057
       369         -2207.83784        1083.09637       -1124.74147
       370         -2207.83784        1086.81564       -1121.02220
       371         -2207.83784        1090.54509       -1117.29275
       372         -2207.83784        1094.28471       -1113.55313
       373         -2207.83784        1098.03450       -1109.80334
       374         -2207.83784        1101.79446       -1106.04338
       375         -2207.83784        1105.56460       -1102.27324
       376         -2207.83784        1109.34491       -1098.49293
       377         -2207.83784        1113.13540       -1094.70244
       378         -2207.83784        1116.93605       -1090.90179
       379         -2207.83784        1120.74688       -1087.09096
       380         -2207.83784        1124.56789       -1083.26996
       381         -2207.83784        1128.39906       -1079.43878
       382         -2207.83784        1132.24041       -1075.59743
       383         -2207.83784        1136.09193       -1071.74591
       384         -2207.83784        1139.95362       -1067.88422
       385         -2207.83784        1143.82549       -1064.01235
       386         -2207.83784        1147.70753       -1060.13031
       387         -2207.83784        1151.59975       -1056.23810
       388         -2207.83784        1155.50213       -1052.33571
       389         -2207.83784        1159.41469       -1048.42315
       390         -2207.83784        1163.33742       -1044.50042
       391         -2207.83784        1167.27033       -1040.56752
       392         -2207.83784        1171.21340       -1036.62444
       393         -2207.83784        1175.16665       -1032.67119
       394         -2207.83784        1179.13008       -1028.70776
       395         -2207.83784        1183.10367       -1024.73417
       396         -2207.83784        1187.08744       -1020.75040
       397         -2207.83784        1191.08139       -1016.75646
       398         -2207.83784        1195.08550       -1012.75234
       399         -2207.83784        1199.09979       -1008.73805
       400         -2207.83784        1203.12425       -1004.71359
       401         -2207.83784        1207.15888       -1000.67896
       402         -2207.83784        1211.20369        -996.63415
       403         -2207.83784        1215.25867        -992.57917
       404         -2207.83784        1219.32382        -988.51402
       405         -2207.83784        1223.39915        -984.43869
       406         -2207.83784        1227.48465        -980.35320
       407         -2207.83784        1231.58032        -976.25752
       408         -2207.83784        1235.68616        -972.15168
       409         -2207.83784        1239.80218        -968.03566
       410         -2207.83784        1243.92837        -963.90947
       411         -2207.83784        1248.06473        -959.77311
       412         -2207.83784        1252.21127        -955.62657
       413         -2207.83784        1256.36798        -951.46986
       414         -2207.83784        1260.53486        -947.30298
       415         -2207.83784        1264.71191        -943.12593
       416         -2207.83784        1268.89914        -938.93870
       417         -2207.83784        1273.09654        -934.74130
       418         -2207.83784        1277.30412        -930.53373
       419         -2207.83784        1281.52186        -926.31598
       420         -2207.83784        1285.74978        -922.08806
       421         -2207.83784        1289.98787        -917.84997
       422         -2207.83784        1294.23614        -913.60170
       423         -2207.83784        1298.49458        -909.34326
       424         -2207.83784        1302.76319        -905.07465
       425         -2207.83784        1307.04197        -900.79587
