                               No. of Molecules =    12800
                      No. of Atoms per Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                                     Box Length =         84.8420
                          LJ Params: eps, sigma =          0.2381         3.4050
                                         Cutoff =         10.0000
                                           Mass =         39.9480

Temperature is set to       85.000
Step           PE              KE              TE
       488        -16253.89218        2493.74906      -13760.14311
       489        -16254.15755        2493.72193      -13760.43562
       490        -16254.48923        2493.69688      -13760.79235
       491        -16254.78491        2493.67385      -13761.11106
       492        -16255.11851        2493.65278      -13761.46574
       493        -16255.44846        2493.63362      -13761.81484
       494        -16255.76722        2493.61630      -13762.15092
       495        -16256.07908        2493.60074      -13762.47833
       496        -16256.38542        2493.58692      -13762.79850
       497        -16256.67577        2493.57476      -13763.10102
       498        -16257.01073        2493.56418      -13763.44655
       499        -16257.35163        2493.55512      -13763.79651
       500        -16257.70124        2493.54747      -13764.15378
       501        -16258.03865        2493.54117      -13764.49748
       502        -16258.36080        2493.53615      -13764.82465
       503        -16258.67638        2493.53231      -13765.14407
       504        -16259.02814        2493.52956      -13765.49859
       505        -16259.35670        2493.52782      -13765.82888
       506        -16259.73001        2493.52702      -13766.20300
       507        -16260.08865        2493.52703      -13766.56162
       508        -16260.42346        2493.52775      -13766.89571
       509        -16260.78910        2493.52910      -13767.26000
       510        -16261.17354        2493.53102      -13767.64252
       511        -16261.53515        2493.53337      -13768.00178
       512        -16261.93734        2493.53604      -13768.40131
       513        -16262.28954        2493.53891      -13768.75063
       514        -16262.64338        2493.54191      -13769.10147
       515        -16262.96168        2493.54495      -13769.41673
       516        -16263.33611        2493.54794      -13769.78817
       517        -16263.71463        2493.55078      -13770.16386
       518        -16264.09702        2493.55336      -13770.54366
       519        -16264.44751        2493.55557      -13770.89194
       520        -16264.83254        2493.55727      -13771.27526
       521        -16265.14372        2493.55839      -13771.58534
       522        -16265.50974        2493.55880      -13771.95095
       523        -16265.86966        2493.55841      -13772.31125
       524        -16266.21447        2493.55717      -13772.65730
       525        -16266.55580        2493.55495      -13773.00085
       526        -16266.84158        2493.55165      -13773.28993
       527        -16267.19908        2493.54721      -13773.65187
       528        -16267.53476        2493.54150      -13773.99326
       529        -16267.84250        2493.53445      -13774.30805
       530        -16268.17548        2493.52597      -13774.64951
       531        -16268.48612        2493.51598      -13774.97014
       532        -16268.81724        2493.50439      -13775.31285
       533        -16269.08721        2493.49117      -13775.59604
       534        -16269.40259        2493.47623      -13775.92637
       535        -16269.69209        2493.45947      -13776.23262
       536        -16269.96892        2493.44085      -13776.52806
       537        -16270.25223        2493.42034      -13776.83189
       538        -16270.53754        2493.39788      -13777.13966
       539        -16270.82917        2493.37342      -13777.45575
       540        -16271.13887        2493.34691      -13777.79196
       541        -16271.39252        2493.31836      -13778.07416
       542        -16271.70124        2493.28772      -13778.41352
       543        -16271.98789        2493.25498      -13778.73291
       544        -16272.26879        2493.22014      -13779.04865
       545        -16272.55723        2493.18316      -13779.37407
       546        -16272.85176        2493.14409      -13779.70767
       547        -16273.11089        2493.10288      -13780.00801
       548        -16273.40277        2493.05960      -13780.34317
       549        -16273.61197        2493.01426      -13780.59770
       550        -16273.85555        2492.96688      -13780.88867
       551        -16274.08910        2492.91749      -13781.17161
       552        -16274.31571        2492.86615      -13781.44956
       553        -16274.56069        2492.81293      -13781.74777
       554        -16274.82122        2492.75788      -13782.06334
       555        -16275.02478        2492.70106      -13782.32372
       556        -16275.24270        2492.64257      -13782.60012
       557        -16275.47512        2492.58248      -13782.89264
       558        -16275.71187        2492.52090      -13783.19097
